array_length,Quick_4,Quick_n/2,Quick_log_n,Quick_n-5,Med_4,Med_n/2,Med_log_n,Med_n-5,Heap_4,Heap_n/2,Heap_log_n,Heap_n-5,Best_4,Best_n/2,Best_log_n,Best_n-5,Quick,Med,Heap,Best
10,205,265,272,193,642.5,271,255,218,11750,7600,4000,4033,Quick,Quick,Med,Quick,235,263,5816.5,Quick
12,313.5,268.5,334.5,258.5,431,398,366.5,452,2725,2300,1485,7825,Quick,Quick,Quick,Quick,291,414.5,2512.5,Quick
15,361,151,226,86.5,253,216.5,176.5,109,1368.5,2200,1800,6625,Med,Quick,Med,Quick,188.5,196.5,2000,Quick
19,192,159,237,107,121,128.5,125,139,1824.5,2650,1783,6850,Med,Med,Med,Quick,175.5,126.75,2237.25,Med
24,330.5,236.5,248,106,114,139,112,343,2420,4100,2180,3050,Med,Med,Med,Quick,242.25,126.5,2735,Med
30,350.5,268,358,125,300,470,298.5,731.5,2587.5,5500,2320,3433,Med,Quick,Med,Quick,309.25,385,3010.25,Quick
38,525,400,674,152,271,333.5,376,828.5,3916.5,10500,3645.5,2600,Med,Med,Med,Quick,462.5,354.75,3781,Med
47,757,594,735,177,340,452,329,1075,2495,5100,1816,3700,Med,Med,Med,Quick,664.5,396,3097.5,Med
59,1028.5,862,1040,214,544.5,1144,552,738.5,2180,5325,2080,2160,Med,Quick,Med,Quick,945.25,645.25,2170,Med
74,1425,1171.5,1450,261,381,1177,396,2140,2575,6650,2625,2600,Med,Quick,Med,Quick,1298.25,786.5,2612.5,Med
93,1783,1614,1814,326.5,731.5,1708,742,2380,3112.5,8700,3400,3400,Med,Quick,Med,Quick,1698.5,1225,3400,Med
116,2231.5,2145,2216.5,408,623,3300,617,3633,3883,12500,5250,5750,Med,Quick,Med,Quick,2180.75,1961.5,5500,Med
145,2690,2645,2600,510,800,4400,807,4883,6925,17800,7000,6800,Med,Quick,Med,Quick,2622.5,2603.5,6962.5,Med
181,3175,3137.5,3112.5,646.5,1708,4000,1858,5775,8450,22650,8825,7800,Med,Quick,Med,Quick,3125,2929,8637.5,Med
227,3575,3750,3525,834,3375,4866,3212.5,6750,8550,27050,7700,7900,Med,Quick,Med,Quick,3550,4120.5,8225,Quick
284,4000,4299.5,3833,985.5,6275,7350,6250,6250,10350,38000,10800,9825,Quick,Quick,Quick,Quick,3916.5,6262.5,10575,Quick
355,4358,5216,4533,1194,5500,8250,5450,10900,12750,41900,13000,12500,Quick,Quick,Quick,Quick,4445.5,6875,12875,Quick
444,5183,6208,5249.5,1578,7650,9250,7475,11800,15450,54300,15800,15000,Quick,Quick,Quick,Quick,5216.25,8450,15625,Quick
555,5516.5,6600,6325,1966,7300,15100,7375,16050,19000,68600,19450,18200,Quick,Quick,Quick,Quick,5920.75,11237.5,19225,Quick
693,5933,7475,6875,2575,10600,20350,10300,20600,23900,88150,24200,22700,Quick,Quick,Quick,Quick,6404,15475,24050,Quick
867,7150,9425,6200,3175,13650,24300,13350,24800,29350,113450,30100,38700,Quick,Quick,Quick,Quick,6675,18975,34400,Quick
1084,7750,11100,8750,4116.5,18450,25550,18650,30950,47750,160300,51500,47250,Quick,Quick,Quick,Quick,8250,22100,49625,Quick
1355,10050,12525,9250,5950,23900,30650,23850,36150,61200,207800,64900,59800,Quick,Quick,Quick,Quick,9650,27275,63050,Quick
1694,11625,14900,11300,6950,34450,38950,35650,41100,74900,269500,76250,73650,Quick,Quick,Quick,Quick,11462.5,37300,75575,Quick
2117,13750,17150,13450,11250,33850,55150,32700,54250,98900,341450,95900,90450,Quick,Quick,Quick,Quick,13600,44050,97400,Quick
2646,15200,21100,14925,13000,41500,67900,41750,66600,122600,430200,126600,119450,Quick,Quick,Quick,Quick,15062.5,54175,124600,Quick
3308,16700,27750,17400,18200,51850,89000,51150,82700,149100,507500,108500,102850,Quick,Quick,Quick,Quick,17800,67275,128800,Quick
4135,21200,35150,21550,18650,81050,84650,81150,104300,134000,685100,137750,128750,Quick,Quick,Quick,Quick,21375,82900,135875,Quick
5169,27350,43550,21625,30950,89400,117150,93550,131350,170900,839650,171800,162600,Quick,Quick,Quick,Quick,29150,105350,171350,Quick
6462,31200,50800,29850,35050,115850,150300,113950,166050,214400,1171100,214200,204050,Quick,Quick,Quick,Quick,33125,133075,214300,Quick
8077,41750,65050,37700,40900,170850,182750,171400,184250,269000,1528900,267200,254850,Quick,Quick,Quick,Quick,41325,177075,268100,Quick
10097,48850,81550,40750,47600,170950,247950,177950,239150,347350,2009150,361000,331100,Quick,Quick,Quick,Quick,48225,208550,354175,Quick
12621,53350,108650,64650,68350,211700,298350,200850,307850,459550,2643100,461200,443850,Quick,Quick,Quick,Quick,66500,255025,460375,Quick
15777,71100,122200,64000,69500,215450,406950,226050,388250,597800,3464450,601250,564700,Quick,Quick,Quick,Quick,70300,307150,599525,Quick
19721,96700,152600,98200,89600,386250,402150,384000,457850,714800,4503600,707450,701100,Quick,Quick,Quick,Quick,97450,394200,711125,Quick
24651,108250,191750,111300,119450,461850,558750,477700,606100,902250,5796950,909500,862850,Quick,Quick,Quick,Quick,115375,518225,905875,Quick
30814,148350,235950,144750,136700,529250,621150,545500,722450,1119250,7469700,1132700,1088600,Quick,Quick,Quick,Quick,146550,583325,1125975,Quick
38518,141300,287350,175100,215550,781800,846450,791950,829700,1397850,9715250,1411050,1349700,Quick,Quick,Quick,Quick,195325,810825,1404450,Quick
48148,248800,367850,232900,230100,789050,1082600,797600,1096900,1789800,12122600,1770500,1673850,Quick,Quick,Quick,Quick,240850,940100,1780150,Quick
60185,261950,455600,287050,316850,978800,1359250,1050550,1374650,2194550,15565600,2196800,2089050,Quick,Quick,Quick,Quick,301950,1204900,2195675,Quick
75231,345300,583250,335600,401950,1104450,1832800,1122800,1743550,2739750,19646700,2719900,2581950,Quick,Quick,Quick,Quick,373625,1433175,2729825,Quick
94039,405950,707500,404200,471650,1350850,2329500,1541400,2342000,3604050,26659800,4778500,3433200,Quick,Quick,Quick,Quick,438800,1935450,4191275,Quick
117549,490600,902750,569950,658750,2140450,2483300,2044400,2954200,4361650,33290350,4729300,4251050,Quick,Quick,Quick,Quick,614350,2311875,4545475,Quick
146936,611050,1107700,702400,686950,2586950,2845050,2526850,3253150,5410450,44675550,6801750,5239500,Quick,Quick,Quick,Quick,694675,2716000,6106100,Quick
183670,906750,1403150,750800,808550,3065100,3858250,3089850,4362350,7003800,61404500,7048800,6735900,Quick,Quick,Quick,Quick,857650,3474050,7026300,Quick
229588,1089550,1847450,1167700,1024150,3571500,4920000,3456350,5213650,9243500,94922800,10298050,10329300,Quick,Quick,Quick,Quick,1128625,4245750,10313675,Quick
286985,1246100,2184650,1170500,1441050,5234900,5323250,5720750,6050650,11856200,127412000,13341150,12590800,Quick,Quick,Quick,Quick,1343575,5522000,12965975,Quick
358732,1677800,2771950,1852300,1550000,5319600,8057400,5281800,8138250,21175450,190822350,18008300,18387300,Quick,Quick,Quick,Quick,1765050,6688500,19781375,Quick
448415,2006700,3469000,2034600,2406250,6492800,10737550,6663400,10813350,28589850,245310350,30241100,29428000,Quick,Quick,Quick,Quick,2220425,8700475,29834550,Quick
560519,2826850,4357850,2026800,2807950,8280000,12752550,9584750,13189900,41003500,347147300,40434500,37226100,Quick,Quick,Quick,Quick,2817400,11168650,40719000,Quick
